Database ID,Name,Slug,SKU,Has Videos,Video Count,URL
408373,"Setpoint Output Module (SOM) for Wireless System",setpoint-output-module-som-for-wireless-system,N/A,NO,0,https://bapi.com/product/setpoint-output-module-som-for-wireless-system
408425,"Replacement Battery for Wireless Sensors",replacement-battery-for-wireless-sensors,BA/LI14505,NO,0,https://bapi.com/product/replacement-battery-for-wireless-sensors
408429,"Replacement Battery for Wireless Food Probe Sensor",replacement-battery-for-wireless-food-probe-sensor,BA/BAT-5AA-HIT,NO,0,https://bapi.com/product/replacement-battery-for-wireless-food-probe-sensor
405969,"Outside Air (%RH) Sensor with Optional Temperature Sensor",outside-air-rh-sensor-with-optional-temperature-sensor,N/A,NO,0,https://bapi.com/product/outside-air-rh-sensor-with-optional-temperature-sensor
402797,"Particulate Sensor, Duct",particulate-sensor-duct,BA/PM-D-BB,YES,1,https://bapi.com/product/particulate-sensor-duct
401423,"(ALC) Submersible Averaging Temperature Sensor, Flexible",alc-submersible-averaging-temperature-sensor-flexible,N/A,NO,0,https://bapi.com/product/alc-submersible-averaging-temperature-sensor-flexible
401416,"(ALC) Submersible Averaging Temperature Transmitter, Flexible",alc-submersible-averaging-temperature-transmitter-flexible,N/A,NO,0,https://bapi.com/product/alc-submersible-averaging-temperature-transmitter-flexible
401403,"Submersible Averaging Temperature Transmitter, Flexible",submersible-averaging-temperature-transmitter-flexible,N/A,YES,1,https://bapi.com/product/submersible-averaging-temperature-transmitter-flexible
401330,"Submersible Averaging Temperature Sensor, Flexible",submersible-averaging-temperature-sensor,N/A,YES,1,https://bapi.com/product/submersible-averaging-temperature-sensor
401238,"Rope Sensor Mounting Bracket (pack of 25)",rope-sensor-mounting-bracket-pack-of-25,BA/LDT-RR-MB,NO,0,https://bapi.com/product/rope-sensor-mounting-bracket-pack-of-25
400665,"CCGA/1K-A",ccga-1k-a,N/A,NO,0,https://bapi.com/product/ccga-1k-a
400582,"(ALC) Differential Pressure Switch",alc-differential-pressure-switch-2,N/A,NO,0,https://bapi.com/product/alc-differential-pressure-switch-2
400470,"Reed Switches for the Door Monitor Alarm (DMA)",reed-switches-for-the-door-monitor-alarm-dma,N/A,NO,0,https://bapi.com/product/reed-switches-for-the-door-monitor-alarm-dma
400467,"Door Monitor Alarm (DMA)",door-monitor-alarm-dma,BA/DMA,YES,1,https://bapi.com/product/door-monitor-alarm-dma
400362,"Particulate Sensor, BAPI-Stat “Quantum” Enclosure",particulate-sensor-bapi-stat-quantum-enclosure,N/A,NO,0,https://bapi.com/product/particulate-sensor-bapi-stat-quantum-enclosure
400334,"ZPM Precision Accuracy (±0.25%) Pressure Sensor in a BAPI-Box - IP66 or NEMA 4 Rated, Field Selected Range and Output",zpm-in-a-bapi-box-ip66-or-nema-4-rated-differential-pressure-sensor-field-selected-range-and-output,N/A,NO,0,https://bapi.com/product/zpm-in-a-bapi-box-ip66-or-nema-4-rated-differential-pressure-sensor-field-selected-range-and-output
163265,"(ALC) Water Leak Detector in a BAPI-Box",alc-water-leak-detector-in-a-bapi-box-2,N/A,NO,0,https://bapi.com/product/alc-water-leak-detector-in-a-bapi-box-2
160499,"Carrying Case for Blü-Test - Wireless Test Instruments",carrying-case-for-blu-test-wireless-test-instruments,BA/BT-HVAC-CASE,NO,0,https://bapi.com/product/carrying-case-for-blu-test-wireless-test-instruments
160078,"Surface Temperature Sensor",surface-temperature-sensor,N/A,YES,1,https://bapi.com/product/surface-temperature-sensor
159974,"(ALC) Trim Ring for BAPI-Stat 4 Sensor",alc-trim-ring-for-bapi-stat-4-sensor,N/A,NO,0,https://bapi.com/product/alc-trim-ring-for-bapi-stat-4-sensor
159965,"Trim Ring for BAPI-Stat 4 Sensor",__trashed-2,N/A,NO,0,https://bapi.com/product/__trashed-2
159794,"BAPI-Box Enclosure",bapi-box-enclosure,BA/BB,NO,0,https://bapi.com/product/bapi-box-enclosure
159771,"(ALC) UIUO4 - Output Terminal Board for ALC ME(X) Controllers",alc-uiuo4-output-terminal-board-for-alc-mex-controllers,UIUO4,NO,0,https://bapi.com/product/alc-uiuo4-output-terminal-board-for-alc-mex-controllers
159770,"(ALC) OUT66 - Output Terminal Board for ALC SE6166 Controller",alc-out66-output-terminal-board-for-alc-se6166-controller,OUT66,NO,0,https://bapi.com/product/alc-out66-output-terminal-board-for-alc-se6166-controller
155911,"(ALC) Foamback Insulators (for Room Sensors)",alc-foamback-insulators-for-room-sensors-2,N/A,NO,0,https://bapi.com/product/alc-foamback-insulators-for-room-sensors-2
143767,"(ALC) Room Pressure Pickup Ports",alc-room-pressure-pickup-ports,N/A,NO,0,https://bapi.com/product/alc-room-pressure-pickup-ports
